Time [s],Concentration [VMR]
3.050000000000000266e+00,7.616250000000017104e-03
3.075000000000000178e+00,8.484375000000016209e-03
3.100000000000000089e+00,8.672500000000020470e-03
3.125000000000000000e+00,7.743125000000017355e-03
3.150000000000000355e+00,7.286250000000016672e-03
3.175000000000000266e+00,8.160000000000017933e-03
3.200000000000000178e+00,8.937500000000013142e-03
3.225000000000000089e+00,8.238750000000016893e-03
3.250000000000000000e+00,6.508750000000014524e-03
3.275000000000000355e+00,6.372500000000014438e-03
3.300000000000000266e+00,7.131250000000016048e-03
3.325000000000000178e+00,7.300000000000016545e-03
3.350000000000000089e+00,6.424375000000014276e-03
3.375000000000000000e+00,5.789375000000012393e-03
3.400000000000000355e+00,6.286250000000014049e-03
3.425000000000000266e+00,6.382500000000014030e-03
3.450000000000000178e+00,7.583125000000016068e-03
3.475000000000000089e+00,6.452500000000014647e-03
3.500000000000000000e+00,5.588750000000011244e-03
3.525000000000000355e+00,6.221250000000013228e-03
3.550000000000000266e+00,7.647500000000016264e-03
3.575000000000000178e+00,6.686250000000016833e-03
3.600000000000000089e+00,6.050000000000013700e-03
3.625000000000000000e+00,5.413750000000012302e-03
3.650000000000000355e+00,6.907500000000015190e-03
3.675000000000000266e+00,7.923750000000014115e-03
3.700000000000000178e+00,6.785000000000014977e-03
3.725000000000000089e+00,6.976250000000015425e-03
3.750000000000000000e+00,7.955000000000017613e-03
3.775000000000000355e+00,9.446250000000020602e-03
3.800000000000000266e+00,9.201250000000018442e-03
3.825000000000000178e+00,9.693750000000020059e-03
3.850000000000000089e+00,8.931250000000019035e-03
3.875000000000000000e+00,9.720000000000022025e-03
3.900000000000000355e+00,1.080250000000002389e-02
3.925000000000000266e+00,1.044000000000002044e-02
3.950000000000000178e+00,9.947500000000018827e-03
3.975000000000000089e+00,9.762500000000019426e-03
4.000000000000000000e+00,1.087500000000002354e-02
4.025000000000000355e+00,1.097750000000002196e-02
4.049999999999999822e+00,9.425000000000020167e-03
4.075000000000000178e+00,9.083750000000020627e-03
4.100000000000000533e+00,1.006812500000002150e-02
4.125000000000000000e+00,1.087312500000002513e-02
4.150000000000000355e+00,9.766250000000021442e-03
4.174999999999999822e+00,8.980000000000020952e-03
4.200000000000000178e+00,8.502500000000020458e-03
4.225000000000000533e+00,9.371250000000018454e-03
4.250000000000000000e+00,9.828750000000021497e-03
4.275000000000000355e+00,9.479375000000020771e-03
4.299999999999999822e+00,7.806250000000016301e-03
4.325000000000000178e+00,8.276250000000012763e-03
4.350000000000000533e+00,9.490000000000019253e-03
4.375000000000000000e+00,8.376250000000015627e-03
4.400000000000000355e+00,7.410000000000017267e-03
4.424999999999999822e+00,7.225000000000016132e-03
4.450000000000000178e+00,7.788750000000017881e-03
4.475000000000000533e+00,8.392500000000018001e-03
4.500000000000000000e+00,7.566250000000015671e-03
4.525000000000000355e+00,7.484375000000017056e-03
4.549999999999999822e+00,7.588125000000016732e-03
4.575000000000000178e+00,9.988125000000021292e-03
4.600000000000000533e+00,9.367500000000018173e-03
4.625000000000000000e+00,7.670000000000017082e-03
4.650000000000000355e+00,7.152500000000016483e-03
4.674999999999999822e+00,7.910000000000015977e-03
4.700000000000000178e+00,8.737500000000019557e-03
4.725000000000000533e+00,8.740000000000018587e-03
4.750000000000000000e+00,7.529375000000017824e-03
4.775000000000000355e+00,7.097500000000016122e-03
4.800000000000000711e+00,8.686875000000017499e-03
4.825000000000000178e+00,8.236875000000015018e-03
4.850000000000000533e+00,6.835625000000015300e-03
4.875000000000000000e+00,6.775000000000015385e-03
4.900000000000000355e+00,7.038750000000015480e-03
4.925000000000000711e+00,8.220000000000017223e-03
4.950000000000000178e+00,7.057500000000016017e-03
4.975000000000000533e+00,6.255625000000013779e-03
