Number of teeth,High frequency modulation (Hz),Mean concentration (VMR),Standard deviation (VMR)
9,1600000000.0,0.009093073193768796,0.00046824802172997827
9,1700000000.0,0.009513549687004134,0.0008173302496954864
9,1800000000.0,0.009811718989419327,0.0006121821674001816
9,1900000000.0,0.009809909336571195,0.0005786165363867645
9,2000000000.0,0.009837780823994767,0.0005549735332368781
9,2100000000.0,0.009885285247830736,0.000555471530832127
9,2200000000.0,0.010039653306942805,0.0006120700074438423
9,2300000000.0,0.009960162203031576,0.0008985516133151407
9,2400000000.0,0.010193346836276772,0.00047716902416981513
9,2500000000.0,0.010699224343981375,0.0007705381541686855
9,2600000000.0,0.010544585032183446,0.000663504435960969
9,2700000000.0,0.011098348526306026,0.0004901869735564495
9,2800000000.0,0.011123646770028448,0.0005412894782860089
10,500000000.0,0.007574662531469908,0.00043195974919546455
10,600000000.0,0.007999609628239392,0.000438618805486091
10,700000000.0,0.008591766389737163,0.0003177812779174093
10,800000000.0,0.00864762862424873,0.0004951502507014852
10,900000000.0,0.009140027120518448,0.0006303279683362352
10,1000000000.0,0.009222318851663525,0.00037486305826617305
10,1100000000.0,0.009479683111816063,0.00047939356037058305
10,1200000000.0,0.009378377645085928,0.0005322158560564832
10,1300000000.0,0.009743713464427133,0.000602418282035067
10,1400000000.0,0.009551326463066143,0.0005931757301683199
10,1500000000.0,0.009450529060861152,0.000499972959719168
10,1600000000.0,0.00974708235217572,0.0005925042730280221
10,1700000000.0,0.009894979347562703,0.0005971571305249564
10,1800000000.0,0.009789888983681366,0.0004940530794144711
10,1900000000.0,0.01011457978830831,0.0004149277791309532
10,2000000000.0,0.010046207138018464,0.000878926785599944
10,2100000000.0,0.010276921520589214,0.0007280539413324637
10,2200000000.0,0.010155202405485664,0.0004538920313057272
10,2300000000.0,0.01038690107652098,0.0008010362191380902
10,2400000000.0,0.01055351229346769,0.0012035130018946026
10,2500000000.0,0.009965405133520086,0.0006086165294172177
11,400000000.0,0.007550406135378804,0.0004097185650185674
11,500000000.0,0.008202283472186538,0.0006131668436098785
11,600000000.0,0.008568935624857922,0.0005865710884120786
11,700000000.0,0.00896965821299672,0.0004364298644493855
11,800000000.0,0.008860819041751638,0.0003875297430813523
11,900000000.0,0.009281328354861269,0.0005367490111768179
11,1000000000.0,0.009782480751214162,0.00044668646398798124
11,1100000000.0,0.009659960775591387,0.0005151485599543932
11,1200000000.0,0.009814884685128972,0.0008351903661622917
11,1300000000.0,0.010160115716743282,0.000733692632839611
11,1400000000.0,0.0097881395426975,0.0005706012802011
11,1500000000.0,0.009892575916184568,0.00039444755085625826
11,1600000000.0,0.010260263269687975,0.0005034920170178059
11,1700000000.0,0.009653644105424127,0.000608169807750415
11,1800000000.0,0.009952981650650375,0.0007127759474041099
11,1900000000.0,0.010273293265206164,0.00029731486777166737
11,2000000000.0,0.009878167526965517,0.000800471898743659
11,2100000000.0,0.01041773809762911,0.000563366017609235
11,2200000000.0,0.010203193499028592,0.0005697501292555383
12,400000000.0,0.007599851760300633,0.0006047549329661496
12,500000000.0,0.00832878945703737,0.0003958626309832455
12,600000000.0,0.008768336669532941,0.0005023765809629087
12,700000000.0,0.009089431785882309,0.00041445853322637276
12,800000000.0,0.009333346214692948,0.00025729547137040717
12,900000000.0,0.009338444676546454,0.00047827015391957586
12,1000000000.0,0.009467940822537404,0.0005655508345097095
12,1100000000.0,0.009900814616144973,0.0005034008400758096
12,1200000000.0,0.00980262169308887,0.0005539634462429794
12,1300000000.0,0.009797161032427764,0.0007853221653603842
12,1400000000.0,0.009840881108516712,0.0004662844251089486
12,1500000000.0,0.010046473996738314,0.00022988420358503533
12,1600000000.0,0.010225496634002327,0.0005700960664920842
12,1700000000.0,0.009849347183519718,0.0007019875548032422
12,1800000000.0,0.010104157651032775,0.0006929209339024508
12,1900000000.0,0.010552233038027966,0.0007884148120785212
12,2000000000.0,0.010409436076697188,0.0005177832249430029
13,400000000.0,0.008115661334054903,0.00047077708810173383
13,500000000.0,0.008747673548928943,0.0006530795131998066
13,600000000.0,0.009049525412577775,0.0005026057602886332
13,700000000.0,0.009077855955063873,0.0005234208377002381
13,800000000.0,0.009436238736017153,0.00030614402284171084
13,900000000.0,0.009884366362704738,0.0007022940071630831
13,1000000000.0,0.009786966152435888,0.0005487605731121269
13,1100000000.0,0.009645260210264968,0.0004432319172319898
13,1200000000.0,0.009967944232070137,0.00032590961134813416
13,1300000000.0,0.009900573012503303,0.00048729394343053587
13,1400000000.0,0.010115841347226881,0.000516799381215686
13,1500000000.0,0.010352827911308206,0.0006544348488953756
